,issueNumber,title,description,FIGDiagnostic,labels,dateMade
900,900,Only show suggestions for arguments,"I've found it to be very helpful with the autocomplete for ssh profiles and git branches. I have a question, can I disable the autocomplete for command parameters?",No Fig Diagnostic Found,"['codebase:autocomplete-app', 'type:usability']","Feb 4, 2022, 9:00 PM PST"
901,901,Ability to add more then one CLI tool with same command,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my feature
Feature Details
Description:
TLDR: A way to solve conflicts between CLI's with the same command
I noticed that I get a wrong autocomplete suggestions for the task command,
That's because I refer to task runner called ""Task"" (https://taskfile.dev/)
And Fig got auto-completion for a different CLI tool called ""Taskwarrior""
I want to open a PR with a spec file for ""Task"" but I didn't find a way to co-exist with the task warrior command without changing the task.ts file that's in the responsibility of another developer.
Possible solution
Generic solution:
Add a section to the spec that will use for identifying the desired CLI by the command output or by checking for a file to exists in the current folder (e.g Taskfile)
Solutions only for task command collision:
Treat ""Task"" and ""Taskwarrior"" as different versions of the same CLI, in the same task.ts file and perform version check before returning the spec like the example here
Create a new task.ts file that will perform some check and return the spec from taskfile.ts or taskwarrior.ts
I would like to hear from you what is the best solution for this problem 🙂",No Fig Diagnostic Found,['schema'],"Feb 5, 2022, 4:21 AM PST"
902,902,Unresponsive in tmux,"Description:
Hi everyone,
fig works great both on iTerm and macos terminal until I start tmux. There are similar issues but in my case there is no flicker, no error or any other feedback, it is just unresponsive.
Thanks for your help!
Screen.Recording.2022-02-06.at.00.50.15.mov
Details:
macOS Fig Shell
12.2 21D49 1.0.55 /bin/zsh
fig diagnostic
Edit: I've updated to Beta. The auto-completion window opens on the false pane in some cases and often only appears at my second try but other than it works now.",,['None yet'],"Feb 5, 2022, 3:59 PM PST"
903,903,Fig sometime leaks memory,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
I have run fig doctor in the affected terminal session
I have typed 'git ' and included a screenshot of the Debugger (click the Fig icon in the macOS menu bar)
Issue Details
Description:
Quite often when I use fig in my terminal, fig overflows my memory and break my computer. Then I must kill Fig.
I have MacPro with m1 chip and last version of mac OS,iTemr2.
Environment
Fig environment variables:
  - TERM_SESSION_ID=w0t0p0:E10C28CB-643E-439A-B4A4-EBF215F6FE61
  - FIG_INTEGRATION_VERSION=5
  - FIG_TERM=1
  - FIG_TERM_VERSION=3
  - FIG_ENV_VAR=1
  - FIG_CHECKED_PROMPTS=1
MacOS Version: 12.2 21D49
Hardware:
  - Model Name: MacBook Pro
  - Model Identifier: MacBookPro17,1
  - Chip: Apple M1
  - Cores: 8 (4 performance and 4 efficiency)
  - Memory: 16 GB",No Fig Diagnostic Found,"['codebase:autocomplete-app', 'performance']","Feb 6, 2022, 2:25 AM PST"
904,904,Figterm socket exists but is not writable,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
❯ fig doctor
❌ Fig is not running
I can fix this!
Running > fig launch
→ Launching Fig...
Fix applied!
Rerunning fig doctor to see if the problem is resolved.....
❌ PATH and PseudoTerminal PATH do not match
I can fix this!
Running > fig app set-path
Setting $PATH variable in Fig pseudo-terminal...
Fig will now use the following path to locate the fig executable:
/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Applications/VMware Fusion.app/Contents/Public:/Library/TeX/texbin:/Library/Apple/usr/bin:/Users/jdesbiens/.fig/bin
Fix applied!
Rerunning fig doctor to see if the problem is resolved...
..
❌ Figterm socket exists but is not writable
Testing Figterm...
❌ Doctor found errors. Please fix them and try again.
If you are not sure how to fix it, please open an issue with fig issue to let us know!
Or, email us at hello@fig.io!
❯ Testing Figterm...
zsh: command not found: Testing
❯ fig doctor
✅ Everything looks good!
Details:
macOS Fig Shell
12.2 21D49 1.0.55 /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['codebase:figterm'],"Feb 7, 2022, 6:28 AM PST"
905,905,Fig not loading in sync with Terminal,"Description:
Lately when I open my terminal, if my computer has been sleep for some time, fig does not load, and I have to restart fig and my terminal for them to sync.
Details:
macOS Fig Shell
12.1.0 Version 1.0.52 (B315) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['type:bug'],"Feb 7, 2022, 7:44 AM PST"
906,906,'PATH and PseudoTerminal PATH do not match' Fig Doctor after reinstall,"Description:
Ran 'Fig Doctor' right after reinstall of Fig and got Error: 'PATH and PseudoTerminal PATH do not match'. Im running iTerm2.
Details:
macOS Fig Shell
12.2 21D49 1.0.55 /bin/zsh
fig diagnostic",,['None yet'],"Feb 7, 2022, 10:17 AM PST"
907,907,Just installed on 10.13 (High Sierra) and here I am.,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Details:
macOS Fig Shell
10.13.6 17G14042 1.0.55 /bin/zsh
fig diagnostic",,['None yet'],"Feb 7, 2022, 1:35 PM PST"
908,908,"Option to show ""folders"" template suggestions with no spec selected","Some shells allow you to cd into a directory without explicitly writing cd - eg writing ~ will take you back home.
An option to display the folders template when no command is entered would enable completions for this. It should not be enabled by default",No Fig Diagnostic Found,"['codebase:autocomplete-app', 'type:feature-request']","Feb 8, 2022, 5:23 AM PST"
909,909,Hyper integration failing,"Description
I am using Hyper and got this info that the integration isn't installed.
Attempting to install fails, and the ""learn more"" button leads me to a 404 page: https://fig.io/support/terminals/hyper
if fig has some sort of integration plugin, it's also not listed in the Hyper directory, btw, hyper search fig does not display any hit
running fig doctor gives me this error, which mentions my .hyper.js being symlinked, but not really what I have to do to fix it.
❌ Hyper integration fail
   fig-hyper-integration plugin needs to be added to localPlugins!
FYI, looks like your dotfiles are symlinked.
If you need to make modifications, make sure they're made in the right place.

❌ Doctor found errors. Please fix them and try again.

If you are not sure how to fix it, please open an issue with fig issue to let us know!
Or, email us at hello@fig.io!
Details
macOS Fig Shell
12.0.1 Version 1.0.55 (B365) /bin/zsh
fig diagnostic",,['None yet'],"Feb 8, 2022, 7:31 AM PST"
910,910,"Support ""-"" for latest branch in git rebase","Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my feature
Feature Details
Description:
Please include a detailed description of the feature (and an image or screen recording, if applicable)
fig supports ""-"" for latest branch in checkout, switch, and merge, but not in rebase.
It will be a nice to have for rebase as well. Without that it autocompletes an option like '--abort' after typing 'git rebase -' and hitting enter.
I'm happy to submit a PR for it.
Thanks",No Fig Diagnostic Found,['enhancement'],"Feb 8, 2022, 8:33 AM PST"
911,911,fig doctor error,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
➜ fig doctor
❌ Figterm socket does not exist at /tmp/figterm-w0t0p0:23DE393D-A428-4D05-9B10-191717711D0A.socket

❌ Doctor found errors. Please fix them and try again.

If you are not sure how to fix it, please open an issue with fig issue to let us know!
Or, email us at hello@fig.io!
Details:
macOS Fig Shell
12.2 21D49 1.0.55 -zsh
fig diagnostic",,['None yet'],"Feb 8, 2022, 10:04 AM PST"
912,912,PATH and PseudoTerminal PATH do not match after installation,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Details:
macOS Fig Shell
12.2 21D49 1.0.55 /usr/local/Cellar/bash/5.1.4/bin/bash
fig diagnostic",,['None yet'],"Feb 8, 2022, 12:32 PM PST"
913,913,Fig is disabled in Terminal.app,"Description:
When running terminal, none of the settings from fig appear, while on the fig menu from the mac menu bar it says terminal not supported (see picture)
Details:
macOS Fig Shell
12.2 21D49 1.0.55 /bin/bash
fig diagnostic",No Fig Diagnostic Found,"['type:bug', 'type:usability']","Feb 8, 2022, 1:13 PM PST"
914,914,Not linked to terminal session,"Description:
Not sure what setting I didn't set correctly
Details:
macOS Fig Shell
12.2 21D49 1.0.55 /bin/bash
fig diagnostic",No Fig Diagnostic Found,['awaiting user reply'],"Feb 8, 2022, 1:16 PM PST"
915,915,issue,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Details:
macOS Fig Shell
12.1 21C52 1.0.55 /bin/zsh
fig diagnostic",,['None yet'],"Feb 8, 2022, 1:31 PM PST"
916,916,Shell parser should account for environment variables on one line of command,"It is totally valid for users to prefix any shell command with the definition of an env variable. e.g.
MY_VAR=""hello"" ./myScript.sh`
Fig does not offer suggestions when users do this. We should!
This requires an update to our shell parser.
A common use case of this is:
AWS_PROFILE=prod aws...",No Fig Diagnostic Found,"['codebase:autocomplete-app', 'type:bug']","Feb 8, 2022, 2:48 PM PST"
917,917,Deploying with fastlane with Fig installed causes computer to crash,"Title says it all...
Hello Brendan, Sorry for the late reply, the only issue I have with fig, is that when I want to deploy my app to the Apple Store (I'm a fullstack dev, the app is written in React Native), using fastlane. The process crashed my MacBook Pro 2020 m1, the machine frozen and restart.
I solved this, uninstalling Fig. but that's the only issue I had.
User is referencing https://fastlane.tools/",No Fig Diagnostic Found,"['awaiting user reply', 'codebase:_UNSURE_', 'type:bug']","Feb 8, 2022, 3:24 PM PST"
918,918,Folder suggestions should enable users to navigate hierarchy without inserting text,"Currently if I want to see what's in a directory, I have to actually enter the text for the directory + the slash

It would be great if we could enable users to walk down the directory tree without entering text. e.g. hitting the right arrow on a directory suggestion popped up all of the subfolders beneath desktop on the right.
It would be similar to this but in the Fig UI:
In the meantime, we recommend using Fig as is and using keybindings to delete text quickly e.g. option+backspace to delete a single word",No Fig Diagnostic Found,"['codebase:autocomplete-app', 'type:feature-request']","Feb 8, 2022, 3:56 PM PST"
919,919,Popup doesn't go away after successful SSH command,I don't have a spare machine to reproduce this on right now,No Fig Diagnostic Found,"['codebase:autocomplete-app', 'type:bug']","Feb 8, 2022, 5:40 PM PST"
920,920,Not working with zplug,"With zplug loaded, fig does not work
I replaced zplug load with this snippet, then restarted Fig, and it resumed working for me.
[[ -z $PROCESS_LAUNCHED_BY_FIG ]] && zplug load",No Fig Diagnostic Found,"['codebase:shell-integrations', 'type:bug']","Feb 8, 2022, 9:35 PM PST"
921,921,PATH and PseudoTerminal PATH do not match,"Description:
PATH and PseudoTerminal PATH do not match
I can fix this!
Running > fig app set-path
Setting $PATH variable in Fig pseudo-terminal...
Fig will now use the following path to locate the fig executable:
/usr/local/opt/python@3.10/bin:/usr/local/sbin:/Library/Frameworks/Python.framework/Versions/3.10/bin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/usr/local/opt/python@3.10/bin:/usr/local/sbin:/Library/Frameworks/Python.framework/Versions/3.10/bin:/Users/gumerov/.fig/bin
Fix applied!
Rerunning fig doctor to see if the problem is resolved.....
❌ PATH and PseudoTerminal PATH do not match
Looks like we've already tried this fix before and it's not working.
Details:
macOS Fig Shell
10.14.6 18G9323 1.0.55 /bin/bash
fig diagnostic",,['None yet'],"Feb 9, 2022, 12:43 AM PST"
922,922,not working from phpstorm terminal,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
i use zsh terminal from my phpstorm and fig not working.
PhpStorm version: 2021.3.1
My ~/.zshrc code:
head code:
[ -s ~/.fig/shell/pre.sh ] && source ~/.fig/shell/pre.sh
export ZSH=""/Users/gr1ng0wf/.oh-my-zsh""
ZSH_THEME=""agnoster""
bottom code:
export PATH=""/usr/local/opt/php@7.4/bin:$PATH""
export PATH=""/usr/local/opt/php@7.4/sbin:$PATH""
alias sail=vendor/bin/sail

export JAVA_HOME=""/Library/Java/JavaVirtualMachines/jdk-16.0.2.jdk/Contents/Home""

[ -s ~/.fig/fig.sh ] && source ~/.fig/fig.sh
Details:
macOS Fig Shell
12.2 21D49 1.0.55 /bin/zsh
fig diagnostic",,['None yet'],"Feb 9, 2022, 1:00 AM PST"
923,923,[Beta] Noticeable delay in autocomplete suggestions showing up after insertion,"After updating to the most recent beta (build 374), I started to notice the suggestions popped up slower than before. This was especially in the cd suggestions after inserting the first directory. e.g. going from cd[space] to cd desktop/
According to the videos, the time between the text being inserted and the popup showing has almost doubled (from ~60ms to ~110ms). Unfortunately, these statistics seems to be accurate in the +/- 33ms range (as the screencast was 30FPS) AND the millisecond stopwatch wasn't running smoothly (as in it didn't directly count from 1.001 to 1.002, rather 1.001 to around 1.035).
In any case, the difference is almost 2 lots of 33ms and I believe that this is therefore significant enough to be true.
Below, I compare the videos as if it's a c figterm vs rust figterm issue. Disregard this. Just think of it as prod build vs beta build.
Comparison Vid (between rust and C figterm)
comparison.vid.mp4
Original vid for C
c.figterm.mp4
Original vid for rust
rust.figterm.mp4
Original vid for website
website.mp4
Optimal outcome here is to get it so suggestions appears as fast as possible. Remember, we are competing with shell suggestions which are lightning fast.
In the past we have had users leave as Fig was popping up slowly. This was really early days Fig. I don't believe I have seen users leave because suggestions have popped up too slowly recently (ie in past few months), except for users who had bugs.
I understand there are engineering constraints that may prevent us from getting back down to 30ms. I would love to do this one day. However, I think we should at least get back to levels we were experiencing with c figterm.
Matt seems to know what the cause is (comment below). It does not seem to be anything to do with figterm, regardless, thought it would be worth mentioned that this is the beta where we replaced the c version of figterm with the rust version of figterm.",No Fig Diagnostic Found,"['codebase:figterm', 'performance', 'type:bug']","Feb 9, 2022, 9:13 PM PST"
924,924,How to configure secure keyboard input for Hyper on MacOS?,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
fig doctor diagnoses no secure keyboard input. This document explains how to configure secure input for terminals other than Hyper. The details included in my generated issue content below show this, which is misleading:
SecureKeyboardInput: true
SecureKeyboardProcess: Hyper - co.zeit.hyper 
Why is doctor telling me there's a problem with secure keyboard input?
fig doctor

❌ Secure keyboard input
   Secure keyboard input is on
   Secure keyboard process is Hyper - co.zeit.hyper 

FYI, looks like your dotfiles are symlinked.
If you need to make modifications, make sure they're made in the right place.

❌ Doctor found errors. Please fix them and try again.
Details:
macOS Fig Shell
10.15.7 19H1419 1.0.55 /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['awaiting user reply'],"Feb 10, 2022, 12:07 PM PST"
925,925,fig not integrating into terminal,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
When I run fig doctor it return the following:
**
❌ PATH and PseudoTerminal PATH do not match
Looks like we've already tried this fix before and it's not working.
**
Details:
macOS Fig Shell
12.1 21C52 1.0.55 /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['awaiting user reply'],"Feb 10, 2022, 12:39 PM PST"
926,926,No Title Found,No Details Found,No Fig Diagnostic Found,['Error Getting Details'],Publish Date Not Found
927,927,No Title Found,"Sorry if the title isn't super clear but it would be great if it was possible to autocomplete a list of runnable npm packages (installed under node_modules/.bin/. For example in a project with webpack installed, typing yarn web would prompt yarn webpack as one of the suggestions.",No Fig Diagnostic Found,['Error Getting Details'],Publish Date Not Found
928,928,Folder suggestions not shown after slash,"Folder suggestions were not being shown after accepting a suggestion, this persisted even through restarting the app.
Will be following up with more details",No Fig Diagnostic Found,"['codebase:autocomplete-app', 'type:bug']","Feb 10, 2022, 3:32 PM PST"
929,929,Suggest creating a mixin for commonly repeated commands,"Fig could suggest creating a mixin for repeated / frequent long-ish commands, and pre-populate the mixin itself. This would be a faster and smoother UX than having people manually follow the guides.",No Fig Diagnostic Found,"['codebase:autocomplete-app', 'type:feature-request']","Feb 10, 2022, 9:14 PM PST"
930,930,cannot add new variable path,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
and when i tried to add variable path with command vim ~/.zshrc command this weird message shows up
FIG ENV VARIABLES
Please make sure this block is at the start of this file.
[ -s ~/.fig/shell/pre.sh ] && source ~/.fig/shell/pre.sh
END FIG ENV VARIABLES
FIG ENV VARIABLES
Please make sure this block is at the end of this file.
[ -s ~/.fig/fig.sh ] && source ~/.fig/fig.sh
END FIG ENV VARIABLES
~
~
~
~
~
~
~
~
~
~
~
~
~
""~/.zshrc"" 10L, 342B
Details:
macOS Fig Shell
12.2 21D49 1.0.55 /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['awaiting user reply'],"Feb 11, 2022, 9:14 AM PST"
931,931,Fig is not working for Iterm2,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Details:
macOS Fig Shell
12.2 21D49 1.0.55 /usr/local/Cellar/bash/5.1.4/bin/bash
fig diagnostic",No Fig Diagnostic Found,['awaiting user reply'],"Feb 11, 2022, 2:23 PM PST"
932,932,Docker Integration,"Currently docker is not integrated with Fig, the integration needs to be updated to work again.",No Fig Diagnostic Found,"['integration:docker', 'type:integration-request']","Feb 11, 2022, 3:13 PM PST"
933,933,Set psudoterminal path before doctor is ran,The psudoteminal path should be set before doctor is ran if it is currently unset.,No Fig Diagnostic Found,"['codebase:cli', 'type:bug']","Feb 11, 2022, 3:30 PM PST"
934,934,Stop using /tmp for socket connections,"Currently Fig's callback files for running shell commands are put in the /tmp folder.
Some users use /tmp as a core part of their workflow. Fig pollutes this folder.
We should namespace our connections under something like /tmp/fig/",No Fig Diagnostic Found,"['codebase:figterm', 'type:feature-request']","Feb 11, 2022, 3:43 PM PST"
935,935,Fig not working and doctor is stuck,"M1 MacBook, on beta. Debug states all is fine but not working.
Also fig doctor is stuck and has no output",No Fig Diagnostic Found,"['codebase:cli', 'codebase:macos', 'type:bug']","Feb 11, 2022, 3:47 PM PST"
936,936,Restart from Fig App menu only succeeds in restarting Fig if it started recently <60s ago.,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
I have run fig doctor in the affected terminal session
I have typed 'git ' and included a screenshot of the Debugger (click the Fig icon in the macOS menu bar)
Issue Details
Description:
If I restart Fig from the system tray menu it closes Fig but fails to start it again if it had been opened for more than a minute.
vs
If I restart Fig from the system tray menu it closes Fig and starts Fig again if it had been opened for less than a minute.
Nothing in fig debug logs between the two times to point to anything happening.
Environment
bparadis on Bryans-MacBook-Pro at /opt/dev/bin/.fig [master] > fig diagnostic
Fig Version: Version 1.0.55 (B365) [Canadian English]
UserShell: /bin/zsh
Bundle path: /Applications/Fig.app
Autocomplete: true
Settings.json: true
CLI installed: true
CLI tool path: /Users/bparadis/.fig/bin/fig
Accessibility: true
Number of specs: 0
SSH Integration: false
Tmux Integration: false
Keybindings path:
iTerm Integration: installed!
Hyper Integration: application is not present.
VSCode Integration: application is not present.
Docker Integration: false
Symlinked dotfiles: false
Only insert on tab: false
Installed via Brew: true
Installation Script: true
PseudoTerminal Path: /opt/homebrew/bin:/opt/homebrew/sbin:/Users/bparadis/.nix-profile/bin:/opt/dev/bin/user:/opt/homebrew/bin:/opt/homebrew/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Users/bparadis/.fig/bin:/usr/local/sbin:/opt/homebrew/opt/fzf/bin
SecureKeyboardInput: false
SecureKeyboardProcess: <none>
Current active process: zsh (13597) - /dev/ttys005
Current working directory: /opt/dev/bin/.fig
Current window identifier: 153/% (com.googlecode.iterm2)
Path: /opt/homebrew/bin:/opt/homebrew/sbin:/Users/bparadis/.nix-profile/bin:/opt/dev/bin/user:/opt/homebrew/bin:/opt/homebrew/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Users/bparadis/.fig/bin:/usr/local/sbin:/opt/homebrew/opt/fzf/bin
Fig environment variables:
  - TERM_SESSION_ID=w0t2p0:CDD60A32-CB44-4321-A048-82F7B143237C
  - FIG_INTEGRATION_VERSION=5
  - FIG_TERM=1
  - FIG_TERM_VERSION=3
  - FIG_ENV_VAR=1
  - FIG_CHECKED_PROMPTS=1
MacOS Version: 12.2.1 21D62
Hardware:
  - Model Name: MacBook Pro
  - Model Identifier: MacBookPro18,3
  - Chip: Apple M1 Pro
  - Cores: 8 (6 performance and 2 efficiency)
  - Memory: 16 GB",No Fig Diagnostic Found,"['codebase:macos', 'type:bug']","Feb 11, 2022, 3:58 PM PST"
937,937,"Prints ""\033]697;DoneSourcing"" when using ssh -J in Fish","Report from emails (unable to follow up)
Something is printing ""\033]697;DoneSourcing"" when it shouldn't, which is interfering with ssh -J (I'm using fish)",No Fig Diagnostic Found,"['codebase:shell-integrations', 'shell:fish', 'type:bug']","Feb 13, 2022, 5:17 PM PST"
938,938,Persistent window with custom content,"Idea: A customizable floating window with programmatically generated content (much like the OG sidebar!)
This will also be easy to implement in userland once fig.js is done.
@brendanfalk let me know if there's a better place for this kind of suggestion 🙂
const attachedPopup: Fig.AttachedPopup = {
  generateContent: async (tokens, executeShellCommand, context) => {
    const out = await executeShellCommand(""git rev-parse --abbrev-ref HEAD"");
    if (out.startsWith(""fatal: not a git repository"") return """";
    return `${context.currentWorkingDirectory}\ngit: ${out}`;
  },
};

export default attachedPopup;",No Fig Diagnostic Found,"['codebase:_UNSURE_', 'type:feature-request']","Feb 13, 2022, 9:22 PM PST"
939,939,Incorrect cursor position,"Description:
There is a UI issue in both iTerm2 and Terminal where the cursor starts at the wrong position and writes over the path text when the window is a minimum width.
When fig is not running, this bug is not present in either iTerm2 or Terminal.
Screen recording of issue:
https://user-images.githubusercontent.com/24233575/153889710-53ad261c-9d3f-4ab2-82f3-0f57596ba98e.mov
Details:
macOS Fig Shell
11.4.0 Version 1.0.55 (B365) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,"['awaiting user reply', 'codebase:shell-integrations']","Feb 14, 2022, 7:12 AM PST"
940,940,Fig Accessibility Warning won't go away,"Description:
Run fug:
See popup about fig accessbility, check and uncheck. No change popup stays. Doctor says Accessibility is disabled.
Details:
macOS Fig Shell
12.3 21E5206e 1.0.55 /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['awaiting user reply'],"Feb 14, 2022, 1:40 PM PST"
941,941,SSH error when using ssh -J host1 host2 when config is shared,"From emails:
It affects Linux servers where Fig is not installed. I do share my Bash profile files between my Macs and Linux servers: I like to maintain the single consistent profile.
One of my Macs have SSH configured for jump hosts: only one server can be remoted into directly, others have to be jumped to via the ""direct"" server. In the absence of Fig everything works fine.
When Fig is installed into Bash profiles (Mac and Linux) jumping hosts fails with an SSH error. I can still SSH into the ""direct"" server.
On a laptop without my main Mac so I don't have a remote to test this on yet.",No Fig Diagnostic Found,"['codebase:shell-integrations', 'type:bug']","Feb 14, 2022, 8:26 PM PST"
942,942,Fig breaks setup based on zsh-quickstart-kit,"https://github.com/unixorn/zsh-quickstart-kit
Haven't had time to test this myself.",No Fig Diagnostic Found,"['codebase:shell-integrations', 'type:bug']","Feb 14, 2022, 11:19 PM PST"
943,943,fig not works,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Details:
macOS Fig Shell
12.2.1 21D62 1.0.55 /bin/zsh
fig diagnostic",,['None yet'],"Feb 15, 2022, 12:02 AM PST"
944,944,GCP Cloud Shell Integration,"https://cloud.google.com/shell
Related: #406
Could be solved by a browser extension?",No Fig Diagnostic Found,['type:integration-request'],"Feb 15, 2022, 12:28 AM PST"
945,945,"Fig install ""fig doctor"" errors",Fixed with restart.,No Fig Diagnostic Found,['None yet'],"Feb 15, 2022, 1:55 AM PST"
